REGIONAL;INSTITUICAO_PARCEIRA;INEP;ANO_ENSINO;TURNO;TURMA;CODIGO;RACA;SEXO;NEE;ANO_NASC
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-1 a 2 anos;INTEGRAL;1 ANO  B; 179698228562;BRANCA;MASCULINO;N;2023
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  A; 109227377029;PARDA;MASCULINO;N;2024
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  B; 220822122639;PARDA;FEMININO;N;2024
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-1 a 2 anos;INTEGRAL;1 ANO  B; 108060756701;PARDA;MASCULINO;N;2023
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  C; 112502432604;PARDA;FEMININO;N;2024
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  D; 115833255556;BRANCA;MASCULINO;N;2024
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  C; 108953674827;PARDA;MASCULINO;N;2024
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  D; 053325164342;BRANCA;MASCULINO;N;2024
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-1 a 2 anos;INTEGRAL;1 ANO  A; 174558468934;BRANCA;MASCULINO;N;2023
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  B; 124203723064;PRETA;FEMININO;N;2024
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  C; 061016033562;BRANCA;FEMININO;N;2024
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  B; 177247119843;BRANCA;FEMININO;N;2024
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-1 a 2 anos;INTEGRAL;1 ANO  A; 007527596922;PRETA;FEMININO;N;2023
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  D; 119804115465;BRANCA;MASCULINO;N;2024
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-1 a 2 anos;INTEGRAL;1 ANO  B; 033592853079;PARDA;FEMININO;N;2024
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-1 a 2 anos;INTEGRAL;1 ANO  A; 108280870855;BRANCA;FEMININO;N;2023
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  D; 026573149599;PARDA;FEMININO;N;2024
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-1 a 2 anos;INTEGRAL;1 ANO  B; 069118365183;PARDA;FEMININO;N;2024
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-1 a 2 anos;INTEGRAL;1 ANO  A; 200026014620;BRANCA;MASCULINO;N;2023
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  C; 204915438497;BRANCA;MASCULINO;N;2024
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-1 a 2 anos;INTEGRAL;1 ANO  B; 149627967741;PARDA;FEMININO;N;2024
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  B; 126505282153;PARDA;FEMININO;N;2025
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-1 a 2 anos;INTEGRAL;1 ANO  A; 189618838937;PARDA;FEMININO;N;2023
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-1 a 2 anos;INTEGRAL;1 ANO  A; 112950957770;PARDA;FEMININO;N;2023
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-1 a 2 anos;INTEGRAL;1 ANO  A; 178795926563;BRANCA;FEMININO;N;2023
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-1 a 2 anos;INTEGRAL;1 ANO  A; 125562319377;PARDA;FEMININO;N;2023
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  D; 083097426962;BRANCA;FEMININO;N;2024
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  A; 136790304980;PARDA;MASCULINO;N;2025
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-1 a 2 anos;INTEGRAL;1 ANO  B; 092022451655;PARDA;MASCULINO;N;2023
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  A; 182953739033;BRANCA;FEMININO;N;2024
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  C; 084181063585;BRANCA;MASCULINO;N;2024
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  A; 212822075781;BRANCA;MASCULINO;N;2024
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-1 a 2 anos;INTEGRAL;1 ANO  B; 116436849078;NÃO DECLARADA;MASCULINO;N;2023
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  B; 038316406424;BRANCA;MASCULINO;N;2025
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-1 a 2 anos;INTEGRAL;1 ANO  B; 141899444076;PARDA;MASCULINO;N;2023
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  C; 070102395570;PARDA;MASCULINO;N;2024
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-0 a 1 ano;INTEGRAL;BERCARIO  A; 099555631063;PARDA;FEMININO;N;2024
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-1 a 2 anos;INTEGRAL;1 ANO  A; 006097106110;PARDA;MASCULINO;N;2023
BARREIRO;CASA DO BEBE MARIA BESSA;31384631;EI-1 a 2 anos;INTEGRAL;1 ANO  B; 169330928857;BRANCA;MASCULINO;N;2023
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-1 a 2 anos;INTEGRAL;1 ANO  B; 209129790977;PARDA;FEMININO;N;2023
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS  A; 107402586819;PARDA;FEMININO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS FLEX B; 194207730545;PARDA;FEMININO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-2 a 3 anos;INTEGRAL;2 ANOS  A; 204544653737;PARDA;MASCULINO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-2 a 3 anos;INTEGRAL;2 ANOS  B; 137358956451;PARDA;MASCULINO;N;2023
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-1 a 2 anos;INTEGRAL;1 ANO  B; 064584061554;BRANCA;FEMININO;N;2023
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-5 a 6 anos;INTEGRAL;5 ANOS  A; 174642602994;PARDA;MASCULINO;N;2019
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-5 a 6 anos;INTEGRAL;5 ANOS  A; 018767764270;PARDA;MASCULINO;S;2019
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS FLEX B; 178793183499;PARDA;MASCULINO;N;2021
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS FLEX B; 082345677994;PARDA;MASCULINO;N;2020
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-2 a 3 anos;INTEGRAL;2 ANOS  B; 087090340309;PARDA;MASCULINO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-2 a 3 anos;INTEGRAL;2 ANOS  A; 043570377848;BRANCA;FEMININO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS FLEX B; 168682050820;PARDA;FEMININO;N;2020
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-4 a 5 anos;INTEGRAL;4 ANOS  A; 001682510628;PARDA;FEMININO;N;2020
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-4 a 5 anos;INTEGRAL;4 ANOS  A; 077806601408;BRANCA;MASCULINO;N;2020
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-5 a 6 anos;INTEGRAL;5 ANOS  A; 147725934389;PARDA;MASCULINO;N;2019
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-4 a 5 anos;INTEGRAL;4 ANOS  A; 177943387851;BRANCA;MASCULINO;N;2020
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS  A; 143281310824;PARDA;MASCULINO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-4 a 5 anos;INTEGRAL;4 ANOS  A; 104363033456;PARDA;MASCULINO;N;2020
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS  A; 141472860195;PARDA;MASCULINO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-5 a 6 anos;INTEGRAL;5 ANOS  A; 170219151345;PRETA;MASCULINO;N;2019
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-5 a 6 anos;INTEGRAL;5 ANOS  A; 149371286168;PARDA;FEMININO;N;2019
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-4 a 5 anos;INTEGRAL;4 ANOS  A; 173167189989;BRANCA;FEMININO;N;2020
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-2 a 3 anos;INTEGRAL;2 ANOS  A; 047708766898;PARDA;FEMININO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-2 a 3 anos;INTEGRAL;2 ANOS  A; 172762668199;PRETA;MASCULINO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-1 a 2 anos;INTEGRAL;1 ANO  A; 038042177932;PARDA;MASCULINO;N;2023
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-4 a 5 anos;INTEGRAL;4 ANOS  A; 101787185618;BRANCA;MASCULINO;N;2020
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-2 a 3 anos;INTEGRAL;2 ANOS  A; 160857804050;PARDA;MASCULINO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-2 a 3 anos;INTEGRAL;2 ANOS  B; 204747956969;PARDA;MASCULINO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-5 a 6 anos;INTEGRAL;5 ANOS  A; 181841891748;PRETA;MASCULINO;N;2020
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-2 a 3 anos;INTEGRAL;2 ANOS  B; 089505422102;BRANCA;FEMININO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-2 a 3 anos;INTEGRAL;2 ANOS  A; 034462038124;PARDA;FEMININO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-4 a 5 anos;INTEGRAL;4 ANOS  A; 155991485020;BRANCA;FEMININO;N;2020
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS FLEX B; 201478008455;PARDA;FEMININO;N;2021
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-4 a 5 anos;INTEGRAL;4 ANOS  A; 116297885626;PARDA;FEMININO;N;2020
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS  A; 162640534601;PARDA;MASCULINO;N;2021
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-1 a 2 anos;INTEGRAL;1 ANO  B; 149062643989;PARDA;FEMININO;N;2023
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS FLEX B; 049898585232;PARDA;FEMININO;N;2021
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-4 a 5 anos;INTEGRAL;4 ANOS  A; 023681208138;PARDA;FEMININO;N;2020
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-4 a 5 anos;INTEGRAL;4 ANOS  A; 088876741378;PARDA;MASCULINO;N;2020
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS  A; 197488570558;PARDA;FEMININO;N;2021
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS FLEX B; 195396393129;BRANCA;MASCULINO;N;2020
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-2 a 3 anos;INTEGRAL;2 ANOS  A; 173404088057;PARDA;FEMININO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-2 a 3 anos;INTEGRAL;2 ANOS  A; 105988824052;BRANCA;MASCULINO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-1 a 2 anos;INTEGRAL;1 ANO  B; 138240490655;PARDA;MASCULINO;N;2024
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-2 a 3 anos;INTEGRAL;2 ANOS  B; 095743797056;PARDA;MASCULINO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS FLEX B; 040135784371;PARDA;MASCULINO;N;2021
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS  A; 178113148769;PARDA;FEMININO;N;2021
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-5 a 6 anos;INTEGRAL;5 ANOS  A; 184371808000;PARDA;FEMININO;N;2019
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS FLEX B; 174462336512;PARDA;MASCULINO;N;2021
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-4 a 5 anos;INTEGRAL;4 ANOS  A; 102144117801;PARDA;MASCULINO;N;2020
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-5 a 6 anos;INTEGRAL;5 ANOS  A; 169707618738;PARDA;MASCULINO;N;2019
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-2 a 3 anos;INTEGRAL;2 ANOS  A; 214819880021;BRANCA;FEMININO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-1 a 2 anos;INTEGRAL;1 ANO  B; 046631127659;PARDA;FEMININO;N;2023
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-1 a 2 anos;INTEGRAL;1 ANO  A; 120025475003;PARDA;FEMININO;N;2023
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-4 a 5 anos;INTEGRAL;4 ANOS  A; 110024879600;BRANCA;FEMININO;N;2020
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-1 a 2 anos;INTEGRAL;1 ANO  B; 079498214716;PARDA;FEMININO;N;2023
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-5 a 6 anos;INTEGRAL;5 ANOS  A; 178920525060;PARDA;MASCULINO;N;2019
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS  A; 194111482840;PARDA;FEMININO;N;2021
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-2 a 3 anos;INTEGRAL;2 ANOS  B; 152895682728;BRANCA;FEMININO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-2 a 3 anos;INTEGRAL;2 ANOS  B; 214462722733;PARDA;MASCULINO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-5 a 6 anos;INTEGRAL;5 ANOS  A; 147002126748;PARDA;MASCULINO;N;2019
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS FLEX B; 094060772323;BRANCA;MASCULINO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-2 a 3 anos;INTEGRAL;2 ANOS  A; 104558963494;BRANCA;FEMININO;N;2023
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-2 a 3 anos;INTEGRAL;2 ANOS  A; 052889723520;PARDA;FEMININO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS  A; 215264633827;PARDA;FEMININO;N;2021
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS FLEX B; 218816540411;PARDA;MASCULINO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-5 a 6 anos;INTEGRAL;5 ANOS  A; 009570949445;PARDA;MASCULINO;N;2019
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-4 a 5 anos;INTEGRAL;4 ANOS  A; 105440176564;BRANCA;MASCULINO;N;2020
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-2 a 3 anos;INTEGRAL;2 ANOS  B; 053617393296;BRANCA;MASCULINO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-2 a 3 anos;INTEGRAL;2 ANOS  B; 051005066466;BRANCA;MASCULINO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-1 a 2 anos;INTEGRAL;1 ANO  A; 180717478271;BRANCA;MASCULINO;N;2023
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-1 a 2 anos;INTEGRAL;1 ANO  A; 037763830363;PARDA;MASCULINO;N;2023
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-4 a 5 anos;INTEGRAL;4 ANOS  A; 025543534065;BRANCA;MASCULINO;N;2020
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-2 a 3 anos;INTEGRAL;2 ANOS  A; 014002411982;PARDA;MASCULINO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS FLEX B; 026805565980;BRANCA;MASCULINO;N;2021
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-1 a 2 anos;INTEGRAL;1 ANO  A; 079359649059;PRETA;FEMININO;N;2024
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-5 a 6 anos;INTEGRAL;5 ANOS  A; 089833654772;PARDA;FEMININO;N;2019
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS  A; 143735171708;BRANCA;MASCULINO;N;2021
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-2 a 3 anos;INTEGRAL;2 ANOS  A; 056106826909;PARDA;FEMININO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-1 a 2 anos;INTEGRAL;1 ANO  A; 161840519410;BRANCA;FEMININO;N;2023
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS  A; 100759818686;PARDA;MASCULINO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS FLEX B; 039194397952;PARDA;MASCULINO;N;2020
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-1 a 2 anos;INTEGRAL;1 ANO  B; 060241801545;PARDA;FEMININO;N;2023
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-5 a 6 anos;INTEGRAL;5 ANOS  A; 101055844478;PARDA;MASCULINO;N;2019
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-2 a 3 anos;INTEGRAL;2 ANOS  B; 142033725205;PARDA;MASCULINO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-1 a 2 anos;INTEGRAL;1 ANO  B; 042085611912;BRANCA;MASCULINO;N;2024
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-1 a 2 anos;INTEGRAL;1 ANO  B; 054491708354;PARDA;MASCULINO;N;2023
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-1 a 2 anos;INTEGRAL;1 ANO  A; 064905373370;PARDA;MASCULINO;N;2024
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-4 a 5 anos;INTEGRAL;4 ANOS  A; 111504045345;PARDA;MASCULINO;N;2020
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-1 a 2 anos;INTEGRAL;1 ANO  A; 034705115774;PRETA;FEMININO;N;2024
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS  A; 122327859019;PARDA;FEMININO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS  A; 156552525501;PARDA;FEMININO;N;2021
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS FLEX B; 198399467640;PARDA;FEMININO;N;2021
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-5 a 6 anos;INTEGRAL;5 ANOS  A; 173704619972;PARDA;FEMININO;N;2019
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-2 a 3 anos;INTEGRAL;2 ANOS  B; 123404542425;PARDA;FEMININO;N;2023
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS FLEX B; 181643029042;PRETA;FEMININO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-1 a 2 anos;INTEGRAL;1 ANO  A; 060688108148;PARDA;FEMININO;N;2023
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS  A; 081872938372;PARDA;FEMININO;N;2022
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-5 a 6 anos;INTEGRAL;5 ANOS  A; 192839951738;BRANCA;FEMININO;N;2019
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-4 a 5 anos;INTEGRAL;4 ANOS  A; 041592641132;PRETA;FEMININO;N;2020
BARREIRO;CENTRO DE EDUCACAO INFANTIL MARIA FLORIPES;31348023;EI-3 a 4 anos;INTEGRAL;3 ANOS  A; 199126271108;PARDA;MASCULINO;N;2021
